SampleID,INSET,NONSET,CLINGER,SHDIVER,PER_CFA,PER_EPHEA,PER_PLECA
172815,22,1,0,1.870344657,0.325732899,3.745928339,0.651465798
172816,11,1,0,0.729199654,0.130718954,82.61437908,0
