,COMID,ElevCat,LAT,LONG,Precip8110Ws,region_vpu,SAMPLEID,Tmean8110Ws,WsAreaSqKm
81,14598861,1976.577772,37.98561478,-112.6751251,464.7921193,GB_16,8C7E5B0E-524A-46A1-8D37-6F3459FD366B,6.661607549,27.7533
82,14599559,2385.577361,37.76550674,-112.8493195,794.9748178,GB_16,D46D1F4B-B65D-469C-8476-ECA5AA220267,4.071900679,41.9265
83,14599563,2392.14145,37.76113892,-112.9026031,498.4607546,GB_16,172EEC34-51AB-4B7E-B091-A96671EFEFC3,6.854355946,1.8306
84,14600537,2660.863101,37.76042938,-112.8492432,839.4722527,GB_16,44BB8B23-E52F-489E-A30C-11D2FA2EF5FA,3.69626112,28.7415
85,18369608,1539.153115,38.74702454,-109.1398697,544.6459011,CO_14,6D28EE5E-D580-43DE-A66B-ECD737CAB888,7.18747825,11685.2589
86,18369694,1941.134923,38.64943314,-109.2131424,709.0257983,CO_14,DFF6B6FA-1592-4730-9F6C-A872E14DECA5,6.107212089,54.9828
87,18369922,1468.148265,38.79519272,-109.1685867,543.2911097,CO_14,D63E10CF-006A-4DAC-9EDE-51979690C248,7.212956845,11815.1469
88,18369932,1311.591793,38.81684113,-109.2718506,539.665427,CO_14,67E5A47D-422C-4C89-9511-BF2E7BC42110,7.279660151,11995.7526
89,18369934,1406.761617,38.82329178,-109.2166214,540.5275906,CO_14,D769D56F-A81A-4DC7-81EA-E7BDA2FB485A,7.263736344,11953.6713
90,20654094,1777.617538,37.04107666,-112.9379196,396.0809862,CO_15,670C0B56-1A9F-4352-85C2-D71F9D402A5D,10.96015388,30.6882
91,20654094,1777.617538,37.05438614,-112.9245224,396.0809862,CO_15,0E6BDF73-46FD-4D35-9188-ACF8B2EA91A4,10.96015388,30.6882
92,23186315,1598.69487,41.97160721,-113.9717178,388.7584448,PN_17,3531F58D-B3FC-481F-8770-8328B06E502E ,6.755494028,53.5914
