SiteID,Designatio,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
HAWK-316,Cal,39.15280151,-117.2139969,11177725,2684.29,596.65,4.33,10.584
HAWK-317,Cal,39.6026001,-114.5699997,11336317,2176.89,406.82,6,41.7789
HAWK-319,Cal,38.92649841,-114.2570038,10409536,2976.03,644.52,3.95,6.8049
HAWK-32,Cal,43.7859993,-113.9400024,23240420,2818.61,906.91,0.73,8.1063
HAWK-320,Cal,39.05239868,-114.314003,10407448,2749.01,560.55,4.9,8.3259
HAWK-328,Cal,44.26890182,-103.8460007,5482191,1829.02,675.21,4.62,37.4769
HAWK-329,Cal,44.06990051,-104.0390015,9385393,1966.82,658.73,3.83,26.3925
HAWK-33,Cal,44.22019958,-114.7870026,23479385,2491.72,800.54,2.18,18.2988
HAWK-330,Cal,44.14440155,-103.8460007,17532989,1975.74,653.67,3.78,27.4833
HAWK-335,Cal,44.32770157,-103.9889984,5481949,1845.49,668.16,4.47,28.9683
HAWK-337,Cal,43.89860153,-103.5360031,14396008,1547.88,575.56,6.19,14.3163
HAWK-338,Cal,43.78219986,-103.4059982,14396468,1458.49,530.12,6.99,30.1707
HAWK-339,Cal,43.82820129,-103.4580002,14396300,1554.66,558.46,6.89,27.5175
HAWK-34,Cal,44.78139877,-114.3010025,23480499,2455.06,835.81,1.88,6.3432
HAWK-341,Cal,39.32699966,-122.8300018,8308998,777.49,1458.96,11.89,27.1368
HAWK-343,Cal,39.53829956,-122.8610001,8305416,1132.43,1577.49,11.69,11.8818
HAWK-345,Cal,39.52890015,-122.8479996,8305428,997.3,1074.9,11.67,113.04
HAWK-346,Cal,39.49349976,-122.862999,8308060,875.75,1546.13,12.36,22.4289
HAWK-348,Cal,39.31909943,-122.8440018,8309034,877.76,1335.78,13.41,9.1413
HAWK-349,Cal,41.14239883,-122.6449966,8242216,1383.8,1559.72,10.4,4.8393
HAWK-35,Cal,45.31430054,-113.8030014,23503870,1829.77,855.74,2.62,44.8731
HAWK-350,Cal,40.93700027,-123.1539993,8243440,1480.37,1432.76,9.48,14.4882
HAWK-351,Cal,38.51789856,-120.2129974,17053540,1929.9,1464.6,7.28,57.6675
HAWK-352,Cal,38.76129913,-120.1070023,14982536,2085.9,1314.75,5.35,17.0946
HAWK-354,Cal,38.6473999,-119.9980011,17053858,2555.22,1367.68,4.51,10.9251
HAWK-355,Cal,38.78020096,-119.9980011,8944559,2376.98,1268.05,5.02,10.1682
HAWK-357,Cal,38.87060165,-119.9300003,8944519,2576.05,821.99,4.82,4.7529
HAWK-358,Cal,39.01869965,-120.1529999,8941743,2170.68,1650.74,5.83,14.3109
HAWK-36,Cal,44.57139969,-113.3939972,23512980,2203.99,635.72,1.52,133.254
HAWK-360,Cal,38.72969818,-120.0169983,8943969,2582.27,1316.88,4.48,12.1644
HAWK-361,Cal,39.22119904,-120.098999,8941661,2325.84,1398.61,5.83,6.3126
HAWK-362,Cal,39.11220169,-119.9420013,8942497,2011.65,662.62,6.58,16.5573
