SiteID,Model,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
PIBO:0409,PIBO,45.568883,-114.76624,23573648,1952.087414,425.4031503,4.996348067,12.5136
PIBO:0411,PIBO,45.707151,-115.05035,23541414,1592.38707,351.8151754,6.381051442,14.9877
PIBO:0412,PIBO,45.580336,-114.62551,23573998,1864.983876,444.8257168,4.742932845,22.4325
PIBO:0413,PIBO,45.605035,-114.75173,23575198,1781.074094,531.4482263,7.073052567,53.9721
PIBO:0416,PIBO,45.721495,-114.85769,23574112,1662.903462,339.6676121,10.28893216,4224.294
PIBO:0417,PIBO,45.7146,-114.86,23573568,1502.617271,372.7534797,8.988887457,759.8151
PIBO:0419,PIBO,45.363202,-115.04809,23541032,1633.147364,352.9597373,6.743837887,39.5136
PIBO:0423,PIBO,45.472693,-115.11169,23541872,2127.028541,318.4658966,7.635134735,26658.6147
PIBO:0424,PIBO,45.426636,-115.10046,23540932,2020.43835,575.7914598,3.768457952,5.6007
PIBO:0425,PIBO,45.305827,-115.02823,23541066,1823.430902,565.7916528,6.545112811,1810.4787
PIBO:0432,PIBO,45.480548,-115.26824,23540810,2035.58439,498.0830999,5.14276886,2.3751
PIBO:0435,PIBO,45.393054,-115.19491,23540958,1750.59044,532.7324335,6.425741783,267.7644
PIBO:0437,PIBO,45.357324,-115.25846,23540980,1898.151546,361.4400025,6.216243588,14.2083
PIBO:0442,PIBO,45.347073,-115.2527,23540996,1897.623354,393.3215581,5.710099073,1000.5057
PIBO:0451,PIBO,45.490073,-114.5494,23541280,1838.539134,465.7746451,4.48023174,4.1418
PIBO:0452,PIBO,45.478093,-114.57087,23542390,1879.85836,447.2396168,6.856165407,50.616
PIBO:0457,PIBO,45.519418,-114.186355,23504440,1957.96155,463.9063263,4.98917868,30.8826
PIBO:0458,PIBO,45.613718,-113.99989,23504240,1806.762695,504.6268893,7.050941732,50.6889
PIBO:0620,PIBO,43.906627,-114.92673,23480303,2447.491972,2094.094509,7.607115824,3.0906
PIBO:0636,PIBO,44.215137,-114.78423,23479385,2491.726749,2287.032058,8.644564347,4.7376
PIBO:0668,PIBO,45.033336,-114.72308,23532693,1563.507422,858.9438858,2.586292368,11.1249
PIBO:0669,PIBO,45.094657,-114.72717,23532723,1483.741676,867.7125648,5.287988068,9.7371
PIBO:0670,PIBO,44.959968,-114.79173,23532351,1530.946187,1241.988463,9.42304531,5.5008
PIBO:0671,PIBO,45.00997,-114.82057,23532309,2169.739831,2040.994947,9.039221637,55.6479
PIBO:0673,PIBO,45.174434,-114.72326,23531855,1458.201924,901.618208,5.670897291,13.2687
PIBO:0676,PIBO,44.542061,-114.67919,23519937,2384.222842,1436.18209,2.909150864,189.9396
PIBO:0677,PIBO,44.535864,-114.89167,23519835,2183.298487,1156.647045,3.190152834,23.6538
PIBO:0678,PIBO,44.596825,-114.60382,23519991,1875.398966,1591.692196,2.623688671,31.9167
PIBO:0679,PIBO,44.693549,-114.74951,23520401,1852.565765,1483.141173,3.183189685,56.7738
PIBO:0680,PIBO,44.519089,-114.86681,23519847,2127.4216,1392.360116,3.390807343,62.3844
PIBO:0682,PIBO,44.595612,-114.60264,23520007,2139.699351,833.6786634,3.525295268,71.3484
PIBO:0686,PIBO,44.130582,-115.13692,24158741,1952.700165,2606.030832,7.64053837,43.6806
PIBO:0736,PIBO,44.553577,-115.41676,23519227,1902.417568,809.5566803,1.864730763,31.1949
PIBO:0737,PIBO,44.765541,-115.32264,23519035,2053.365941,1096.069229,1.68195424,31.5279
PIBO:0738,PIBO,44.692798,-115.34532,23519085,2159.234328,1548.202973,2.860977041,52.3926
PIBO:0740,PIBO,44.963624,-115.38489,23551924,1981.672793,1284.323555,10.01987333,37.1043
PIBO:0741,PIBO,45.005461,-115.1463,23532183,2127.636051,2334.191047,12.48756595,16.8705
PIBO:0748,PIBO,44.907104,-115.074,23520543,2008.664181,1882.33733,12.19903093,30.5919
PIBO:0749,PIBO,45.038454,-115.11498,23532173,2048.017773,544.121566,5.432218981,1343.8782
PIBO:0753,PIBO,45.156948,-115.67737,23551084,2223.084769,690.2776298,6.571004738,10.9314
PIBO:0755,PIBO,45.017842,-115.7719,23551270,1591.516685,440.6291447,6.120106306,2315.952
PIBO:0758,PIBO,44.889473,-115.71873,23551884,1503.527027,2026.891468,10.45152503,6.8931
PIBO:0763,PIBO,44.959483,-115.79406,23552800,1930.794255,1359.486734,9.133488016,151.4529
PIBO:0777,PIBO,45.262759,-115.82436,23552188,2016.285436,521.3641801,4.85483957,22.563
PIBO:0804,PIBO,45.25558,-116.60163,24219865,1959.980477,696.6971837,2.645390899,22.6935
PIBO:0856,PIBO,46.187934,-117.61812,23449127,1380.712556,625.1405577,5.287343204,15.5448
PIBO:0900,PIBO,45.219636,-117.23614,23437457,2168.672183,278.2189524,8.388554432,566.379
