SiteCode,CaO_Mean,TP_Mean,Vol_ave,AtmCa,AtmNa,AtmNO3,AtmSO4,TMIN_WS,XWD_WS,RH_WS,PT_Tmin,AWC_soil,Db3rdbar,Kfact,Pct_Alfi,SOC,EVI_AveAve,Evergr_ave,alru_dom,Wb_mx_area,slpavg,GW_P_Sp_Mx,ER13,PPT_ACCUM,PPT_2MoAvg,DOY,Type,GIS_LAT,GIS_LONG
2002STWFV008,2.08,0.24,0.9646,0.262,0.151,0.753,0.48,-94.3,90.6,57.8,-98,0.13,1.35,0.37,0,6.1123,2046,0.1436,0,1198,0.0744,20,N,73951,2485.2,188,REF,42.08026,-114.26379
27RPinos007.3,4.58,0.22,0.7311,0.23,0.082,0.929,0.666,-144.7,97.4,51.4,-144,0.1061,1.4219,0.2694,81.6,4.4015,2109,0.3708,0,287950,0.0747,242,N,95048.6,5738.2,265,REF,36.95694,-106.10055
28RCosti032.5,6.34,0.18,0.15,0.237,0.077,0.972,0.685,-133.5,81.7,52.9,-147,0.0879,1.436,0.2358,68.3,4.6108,2210,0.5556,0,1346702,0.0995,38,N,64253.1,6551.4,215,REF,36.8324,-105.318
28RGRanc013.1,25.92,0.1,0.0053,0.245,0.052,1.017,0.685,-117.4,91.1,53.1,-124,0.1003,1.426,0.2199,94.4,4.1019,2488,0.869,0,10936,0.1177,37,N,66765.4,4341.3,266,REF,36.29777,-105.58194
28RSanBa017.9,22.65,0.1,0,0.244,0.046,1.02,0.678,-132.1,101.1,52.9,-135,0.0924,1.3901,0.2,24.6,4.0444,2292,0.6188,0,5919,0.1509,27,N,85583.4,7100.8,274,REF,36.085278,-105.608056
29RBrazo010.1,4.05,0.19,0.65,0.237,0.072,0.956,0.67,-141.2,103.1,52.5,-123,0.1219,1.4144,0.2801,65.9,4.5861,1948,0.3303,0,42667,0.0595,97,N,76767.9,4954.6,272,REF,36.73722,-106.426111
29RChama183.4,6.27,0.23,0.4404,0.232,0.075,0.923,0.653,-142.6,108.4,50.7,-143,0.1065,1.4127,0.197,52.2,4.8121,2371,0.33,0,86746,0.1104,1792,N,107644,4880.8,171,REF,36.912473,-106.573127
29RGalli045.1,12.85,0.13,0,0.245,0.045,1.07,0.709,-86.2,97.3,52.3,-95,0.1348,1.3892,0.3046,1.4,3.5596,2565,0.7017,0,3133,0.1112,25,N,72707.4,9105.8,208,REF,36.194167,-106.844167
29RPuerc037.5,11.12,0.13,0,0.243,0.045,1.073,0.71,-87,95.4,52,-93,0.1175,1.4104,0.2928,0,3.8219,2292,0.6883,0,49688,0.0869,24,N,92611.8,9593.9,255,REF,36.100222,-106.726917
309ARCBRC,5.62,0.14,0,0.042,0.185,0.381,0.229,24.7,64.3,65.5,14,0.1058,1.5327,0.153,0,5.2758,3172,0.3573,0,939,0.1469,35,N,77526.5,0.5,238,REF,36.23599,-121.48434
309CAW126,3.51,0.14,0,0.042,0.187,0.38,0.229,25.1,60.8,66.3,23,0.1076,1.5273,0.1473,0,5.7846,3112,0.2285,0,0,0.1516,34,N,75431.9,1684.4,168,REF,36.23077,-121.54989
309CAW130,6.91,0.13,0,0.042,0.182,0.387,0.229,30.2,58.2,62.8,2,0.1056,1.5368,0.1761,0.5,4.911,3177,0.2375,0,2195,0.1091,28,N,72122.7,1641.7,163,REF,35.98617,-121.35592
309CAW194,8.43,0.13,0,0.042,0.181,0.384,0.228,16.1,56.3,61.4,1,0.1123,1.5052,0.1939,0,4.2985,2813,0.1627,0,53323,0.0923,656,N,70683.6,114.8,183,REF,36.00033,-121.24534
309SARANF,8.73,0.13,0,0.042,0.182,0.384,0.228,21.1,59.1,62.2,10,0.1126,1.5147,0.1556,0,4.6511,3179,0.2024,0,4247,0.1107,34,N,72487.2,0,239,REF,36.06453,-121.38572
31RVacas026.5,3.92,0.15,0,0.244,0.045,1.075,0.711,-87.3,98.3,51.8,-109,0.1296,1.3831,0.2616,0,3.5695,2211,0.7519,0,5274,0.0381,24,N,90327.5,7626.9,249,REF,36.0195,-106.8232
41LAnima029.3,5.54,0.24,0.912,0.252,0.063,0.963,0.851,-48.1,56.5,37.1,-31,0.0988,1.4157,0.1387,8.4,4.2736,2118,0.5976,0,4831,0.1021,21,Y,41843.1,4469.4,293,REF,33.0412,-107.55476
48DogCan002.7,22.19,0.14,0,0.393,0.068,0.928,0.873,-28,74.5,50.8,-16,0.1129,1.4562,0.273,60.2,4.2138,2246,0.7569,0,689,0.1362,18,Y,49838.8,6449.4,216,REF,32.74952,-105.91237
509BCCH32,6.16,0.25,1,0.039,0.15,0.339,0.196,-20,93.6,51.3,-8,0.126,1.1102,0.152,89.8,4.9581,3358,0.8782,0.0608,9788,0.0789,47,N,115204.3,137.7,226,REF,40.07254,-121.59867
509CE0305,5.9,0.24,0.9902,0.036,0.145,0.318,0.184,-2.8,83.3,52.1,18,0.1249,1.2673,0.1847,32.8,4.7679,2963,0.5385,0.0591,24769,0.0822,41,N,65968.9,1859.2,212,REF,40.231111,-121.978611
509DCPWxx,6.21,0.25,0.9901,0.038,0.141,0.331,0.19,-32.3,87.8,51.9,7,0.1198,1.19,0.1807,51.5,5.4864,3142,0.7944,0.073,1873009,0.0978,49,N,99096.6,202.2,234,REF,40.06961,-121.70886
50Gallin140.8,8.22,0.15,0,0.246,0.045,1.022,0.68,-98.2,85,51,-100,0.0966,1.4032,0.2,32.9,3.9465,2424,0.8805,0,3264,0.1295,24,N,96581.6,6384.8,268,REF,35.7166,-105.4874
50Gallin141.9,7.71,0.14,0,0.245,0.045,1.021,0.679,-99.4,87,51,-98,0.0966,1.4029,0.2,32.7,3.8828,2359,0.7648,0,0,0.1608,24,N,99746.5,9085.9,235,REF,35.722139,-105.497333
50PecosR803.7,22.15,0.12,0,0.243,0.044,1.021,0.675,-118.8,91.7,49.1,-116,0.1035,1.4259,0.2093,75.6,3.9817,2339,0.7832,0,43965,0.1151,25,N,90523.2,5440.4,212,REF,35.761194,-105.671139
50RioMor000.3,18.9,0.13,0,0.244,0.045,1.021,0.677,-116.1,97.9,49.2,-115,0.1001,1.417,0.2032,59.1,4.1185,2292,0.7806,0,6125,0.1154,25,N,82051.3,8884.2,273,REF,35.7772,-105.6575
514BRUUPx,5.72,0.12,0,0.051,0.135,0.456,0.242,0.1,73.3,59,-2,0.13,1.26,0.32,0,6.0114,3726,0.888,0.0631,0,0.1023,34,N,212958.6,7.8,273,REF,38.81444,-120.61472
514RCRUPx,3.85,0.16,0.0496,0.057,0.083,0.448,0.218,-63.4,96,58.3,-72,0.0578,1.3915,0.0521,0,6.5083,2074,0.3869,0.0433,490272,0.097,44,N,203068.7,650.6,273,REF,39.07904,-120.34781
518CE0047,6.76,0.27,1,0.04,0.116,0.333,0.182,-68.3,77.6,56,-73,0.1146,1.1262,0.1615,0,6.7463,3196,0.8705,0.05,5844,0.0548,31,N,95259.4,3123.5,166,REF,40.376111,-121.104167
518GZCUPx,4.02,0.14,0,0.042,0.157,0.373,0.213,-12.5,97.5,56.3,-3,0.0871,1.3512,0.1748,0,6.2598,3123,0.9067,0.0658,26972,0.085,63,N,297962.3,166.1,273,REF,39.88909,-121.27873
518LSTUPx,6.19,0.21,0.1506,0.045,0.154,0.396,0.222,-20.4,92,56.8,-17,0.1198,1.2409,0.2722,0,6.4292,3510,0.8893,0.0667,802,0.0885,52,N,338593.5,179.2,273,REF,39.62472,-121.09028
526CE0317,6.19,0.25,0.979,0.045,0.096,0.32,0.178,-99.8,104,63,-87,0.103,1.4739,0.2035,0,7.6753,1987,0.4792,0.019,0,0.0944,25,N,63127.3,386.4,219,REF,41.3269,-120.24016
